author,content,date,id,location,title,url
Special Correspondent,"Former Environment Minister Jairam Ramesh on Saturday said the Environment Impact Assessment Act (EIA) 2020 as a subordinate legislation violates the parent Environment Protection Act, adding that the Modi government has proposed the changes keeping in mind the ‘Ease of Doing Business’ criteria. In a virtual interaction organised by the Research Department of the All India Congress Committee (AICC) and moderated by former MP Rajeev Gowda, Mr. Ramesh said the proposed changes would not only dilute the environment laws but would take away the powers of the State government. “I think the legal reason against EIA is very strong and I would encourage people to take to legal recourse,” Mr. Ramesh said. Mr. Ramesh, who heads the Parliamentary Committee on Environment, Science and Technology, claimed that that the Ministry of Environment and Forests (MoEF) ultimately wanted to move towards a system where EIA clearances would be given online. He also alleged that the MoEF had blocked its sites to prevent public comments on the EIA 2020 from coming in. “When I was the Minister, once I got 800 mails. I knew that Greenpeace was behind it. I gave them a call, told them that one mail was enough. I laughed, they laughed but I didn’t block the site. The disturbing part is that this government wants protests to go as a democratic tradition,” he said.",2020-08-09,TH32307344,NEW DELHI,People should tackle EIA legally: Jairam Ramesh,https://www.thehindu.com/news/national/people-should-tackle-eia-legally-jairam-ramesh/article32307344.ece
Legal Correspondent,"The Mumbai police on Saturday told the Supreme Court that the CBI had proceeded with “indecent haste” to register a case into the death of actor Sushant Singh Rajput. The CBI should have waited for a final decision from the Supreme Court on a plea by actor Rhea Chakaraborty to transfer a case of abetment to suicide registered against her from Patna to Mumbai. The Mumbai police, in their reply, said the Supreme Court had on August 5 continued to hear the case despite being informed that the CBI had accepted the Bihar government’s request to take over the probe. Bihar has neither judicial nor investigative jurisdiction. Neither the cause nor consequence of the death has happened in Patna. The Bihar police should have, in their own volition, transferred the case to the Mumbai police. The alleged crime of theft has occurred in Mumbai. The Mumbai police said the Bihar police should transfer the FIR to them. Countering allegations by Bihar that an IPS officer, Vinay Tiwary, in its police team was ‘forcibly’ quarantined, the reply said domestic passengers entering Maharashtra have to follow the COVID-19 preventive norms. It said Mr. Tiwary has already reached back home in Bihar. In a 58-page affidavit, Bihar said though Rajput died in Mumbai, his father suffered the consequence of the passing away of his “young and vibrant son” in Patna. It said an offence can be tried either at the place where it has been committed or where the consequence ensues. The Nitish Kumar government said it had recommended the case for transfer to the CBI after preliminary investigation showed that evidence was in Mumbai and also spread across the country. The sensitivity of the case, the inter-State ramifications and the presence of the accused persons in Mumbai had compelled the Bihar police chief to request a probe by a Central agency like the CBI.",2020-08-09,TH32307342,NEW DELHI,"CBI registered case with “indecent haste”, Mumbai police tell SC",https://www.thehindu.com/news/national/cbi-registered-case-with-indecent-haste-mumbai-police-tell-sc/article32307342.ece
Staff Reporter,"With the number of COVID infections “hitting the peak” of the pandemic curve, the State has adopted a proactive strategy of treating all persons with certain COVID symptoms irrespective of the test result to avoid deaths based on clinical diagnosis. Special Chief Secretary (Health, Medical and Family Welfare) K.S. Jawahar Reddy told a press conference on Saturday that Andhra Pradesh had entered the peak of the pandemic curve, and several districts were already at peak of infections while others are about to hit it. “Most districts such as East Godavari, West Godavari, Kurnool, Anantapur and Guntur have already entered the peak stage and others are about to witness the peak of infections. As we enter the sixth month of the pandemic, it is a natural consequence to see the peak,” Dr. Reddy said. “Having less than 1% mortality rate, the pandemic has been well managed clinically in the State. The focus is now on reducing the mortality rate further by identifying severely ill persons even without testing them for COVID,” Dr. Reddy said. “Persons with continuous fever for three to four days, breathlessness, and oxygen saturation level below 94% will be considered as severe symptomatic cases. Even without testing, they will be immediately admitted to hospitals and treated. To identify them, we have given pulse oxymeters to ANMs and with the help of ward and village volunteers and ASHA workers patients would be identified at the ground level,” Dr. Reddy added. “We have three parameters in place to avoid deaths. One is having a minimum of six to seven day treatment window. Second, following all treatment protocols and medication available. The third is to not allow any critical patient to die without being treated with ventilator support,” he said. “In most cases, deaths are occurring within three days of admission. Sometimes it is on the same day of admission. This is because of late reporting and identification of the persons infected. I appeal to the public to come forward and dial 104 or local volunteers and ANMs if they are experiencing severe symptoms. Such persons will be immediately admitted to a hospital and treated,” Dr. Reddy said. About the age group of persons who succumbed to COVID, he said that about 70% are of 40 to 60 years of age group with and without comorbidities and remaining were cases of patients aged less than 40 years. He said there were over 4,000 containment clusters in the State at present and nearly 60% of them were in urban areas. Seeking cooperation of the public, Dr. Reddy said that every person was prone to COVID infection and the only things that could save us is “COVID appropriate behaviour” and “non-pharmaceutical public health measures”. He said the State had already begun sero-surveillance survey in Krishna, East Godavari, Anantapur and Nellore districts through CLIA tests, where 3,750 people in each district would be tested for antibodies. The results of the survey wouldbe known in a week, he added.",2020-08-09,TH32307070,VIJAYAWADA,Andhra Pradesh has entered peak of pandemic curve: Jawahar Reddy,https://www.thehindu.com/news/national/andhra-pradesh/andhra-pradesh-has-entered-peak-of-pandemic-curve-jawahar-reddy/article32307070.ece
Special Correspondent,"Bollywood actor Rhea Chakraborty’s brother Showik, who is also an accused in the appeared before the Enforcement Directorate (ED) in Mumbai on Saturday. The ED is recording the statements of all the accused under the Prevention of Money Laundering Act. On Friday, the agency quizzed four persons, including Mr. Showik, Ms. Chakraborty and her former manager, Shruti Modi. Some persons have also been summoned on Monday. The agency is looking into the financial transactions of the suspects, as Mr. Rajput’s father has alleged that ₹15 crore was transferred from his account in a short span of time. The Central Bureau of Investigation officials, who have started probing the allegations of abetment of suicide, criminal conspiracy, cheating, wrongful restraint, wrongful confinement and theft, are planning to visit the Mumbai residence of Mr. Rajput to examine the room where his body was found hanging on June 14. Among those named in the FIR, which was earlier registered by the Patna police, are Ms. Chakraborty’s parents Indrajit and Sandhya Chakraborty, besides Samuel Miranda, who worked for Mr. Rajput. Mr. Rajput’s father has alleged that as part of a conspiracy, Rhea Chakraborty and others came close to him and started interfering in his life. They kept telling him that he had some mental illness and that he should see a doctor. They made him shift houses, replaced his trusted employees and allegedly subjected him to drug overdose on the pretext that he was suffering from dengue. The statement of Siddharth Pithani, who used to live with Mr. Rajput and also worked for him, will also be recorded.",2020-08-09,TH32305737,NEW DELHI,Sushant Singh Rajput death case | Rhea Chakraborty’s brother appears before ED team,https://www.thehindu.com/news/national/sushant-singh-rajput-death-case-rhea-chakrabortys-brother-appears-before-ed-team/article32305737.ece
Shiv Sahay Singh,"West Bengal Minister Siddiqullah Chowdhury on Saturday expressed reservations over the visit of Prime Minister Narendra Modi for “ ” ceremony in Ayodhya. “Prime Minister Narendra Modi is the Prime Minister of 130 crore people of India. He should have thought about the feelings of all sections of the population before attending the event,” Mr. Chowdhury said, adding that the “PM has made a mistake”. The Minister, who heads the State unit Jamiat-e-Ulama Hind, said Muslims have not got justice in this matter. “I am happy to be part of Mamata Banerjee’s government but it would be wrong for me not to speak out now,” Mr. Chowdhury said. The Minister for Mass Education and Library Services in a video statement also urged people to remain patient and not to hit the streets. “We do not disrespect Ram. Islam teaches us to respect all religions.” Mr. Chowdhury said the BJP and the RSS must be thinking why Muslims have not hit the streets in protest. “Indian Muslims believe in the rule of law, the Constitution, democracy and national unity… It does not matter if a temple is built and the PM goes and lays its first stone. No matter what, the whole world knows it is a mosque.” On building a mosque at a different place in Ayodhya, Mr. Chowdhury said a mosque as per the Islamic law can only be built at a place which is bought or donated by the believers of the religion. The Minister confirmed to that he had made these remarks and said he has released the message on behalf of the Jamiat-E-Ulama Hind and not on behalf of the party. The remarks by the TMC leader, who has significant influence over the Muslim community in the State, assume significance as the party has maintained a silence on the issue. Mr. Chowdhury had spoken against the triple talak Bill and said members of the community cannot follow the law.",2020-08-09,TH32307346,Kolkata,"PM should not have attended “bhoomi pujan”, says Bengal Minister",https://www.thehindu.com/news/national/pm-should-not-have-attended-bhoomi-pujan-says-bengal-minister/article32307346.ece
Syed Sajjad Ali,"COVID-19 death tally in Tripura reached 40 with three more patients succumbing to the disease on August 8, a health department bulletin said. Those who died included a BSF trooper from 80th battalion. On the other hand, the number of coronavirus patients has climbed to 6,017. Tripura has been the second highest virus-infected State in northeast India after Assam. Most of the recent infections were detected through antigen testing. Several members of the police, administration, legal fraternity and political circles have been infected by coronavirus. Chief Minister Biplab Kumar Deb’s spouse and another member also tested positive for COVID-19, but their health conditions are reportedly stable. The Chief Minister, who tested negative, opted to work from his official residence for a week even as family members were being treatment through home isolation. Though the recovery rate of patients in the State is encouraging, health officials are worried over spate of death. 40 patients have already succumbed to the disease and another three committed suicide at COVID-19 isolation ward in GBP Hospital.",2020-08-09,TH32307358,Agartala,"Three more COVID-19 deaths in Tripura, toll reaches 40",https://www.thehindu.com/news/national/three-more-covid-19-deaths-in-tripura-toll-reaches-40/article32307358.ece
PTI,"PSU major Oil India Limited on Saturday said that preparations have been made for capping the blowout in its well at Baghjan in Assam. The well head and its plinth have been made ready for the fire control operation, a release by OIL said. The rig-up load testing of the complete wagon is planned for Saturday and treatment of well killing fluid is underway, it said. Well number five at Baghjan has been spewing gas uncontrollably for the last 66 days since May 27. It caught fire on June 9, killing two of OIL’s firefighters at the site, besides injuring three foreign experts.",2020-08-09,TH32308031,Dibrugarh,All set for capping blowout: Oil India Limited,https://www.thehindu.com/news/national/all-set-for-capping-blowout-oil/article32308031.ece
Staff Reporter,"As part of the continuing vigil against rain-related calamities, 450 persons from various affected areas have been given accommodation in temporarily arranged relief camps in Kozhikode district. According to officials, there are 135 families now staying in such relief camps. In the wake of a minor landslip in the interior areas of Kakkayam, 54 personshave been shifted to a local relief camp. A minor landslip at Theyyappara in Kodenchery too triggered panic among the local residents on Saturday. Revenue Department officials in charge of coordinating rescue operations said more families from the flood-affected areas of Koorachundu panchayat would be shifted to relief camps. In Azhiyoor panchayat, the affected families from six wards including the coastal area were shifted to safer locations. Though there was a brief respite from torrential rain on Saturday morning, major tributaries of the Kabani river, including the Mananthavady, Nugu, Kalindi, and the Panamaram rivers, are in spate in many low-lying areas of the district. A meeting of the district disaster management authority decided to raise the three shutters of the Karapuzha reservoir to 25 cm if the water level increased further. The Indian Meteorology Department has issued red alert in the district for Sunday. Torrential rain along with wind lashed the entire district on Saturday. Low lying areas are under water. The coastal belt of the district is facing the fury of monsoon. Control rooms, working 24 hours, have been opened at taluks and collectorate in the district. They are: Collectorate 1077 (toll free), 0487 2462424, 9447074424; Thrissur taluk (0487 2331443); Thalappilly (04884-233226); Mukundapuram (0480-2825259); Chavakkad (0487-2507350); Kodungallur (0480-2802336); Chalakudy (0480-2705800); Kunnamkulam (04885 225200, 225700). About 1,600 people have been evacuated following heavy rain in Kannur district. Four persons were injured and many houses were completely or partially destroyed. Two camps have been set up at Chengalai and Irikkur in Taliparamba taluk. Three camps have also been started in Payyanur taluk. In Kasaragod, 514 families were relocated to safer places with heavy rain lashing the district. District Collector D. Sajith Babu has cautioned people living along the banks of the Karyangode river to be careful as the rain might intensify.",2020-08-09,TH32307159,Kozhikode,"Landslips put Kozhikode on alert, families shifted to safety",https://www.thehindu.com/news/cities/kozhikode/landslips-put-kozhikode-on-alert-families-shifted-to-safety/article32307159.ece
Special Correspondent,"Persons who had recovered from COVID-19 should come forward to donate plasma, Health Minister C.Vijayabaskar said on Saturday. Plasma from people who recovered from COVID-19 would have antibodies against the virus. Infusing the antibodies to critically ill COVID-19 positive patients is expected to improve their chances of survival. “Persons who have been cured of the novel corona infection can donate plasma 14 days after their recovery,” Mr.Vijayabaskar said speaking to reporters after inaugurating a micro compost yards of the Pudukottai Municipality at Santhaipettai and Narimedu in the town. He pointed out that a plasma bank had been established in Chennai at a cost of ₹2 crore. Steps were being taken to open plasma banks in other districts too, he said. Mr.Vijayabaskar also disclosed that a 300-bed exclusive block for treating COVID 19 patients would soon become functional at the Pudukottai Government Medical College Hospital. The three-storey block is coming up at a cost of ₹ 25 crore. The block would soon be declared open by Chief Minister Edappadi K.Palaniswami, he added. Mr.Vijayabaskar also disclosed that 31.71 lakh face masks would be distributed to the 4.58 lakh smart card holders in Pudukottai districts through ration shops. Two masks were being being to each member of a family listed in the smart cards, he said distributing the face masks to the ration card holders at the Adapanvayal Pudukottai Town Coperative Cooperative Stores ration shop. Later, Mr.Vijayabaskar inaugurated a seed processing centre of the Pudukottai Organic Farmers Producers Organisation (FPO) at Vadamalapur. He disclosed that eight FPOs have been formed in the district through the Department of Agricultural Marketing and Agri Business. Three FPOs have been sanctioned ₹60 lakhs each for establishing seed processing units with godowns, he said. Collector P.Uma Maheswari and senior officials accompanied the Minister.",2020-08-09,TH32308077,PUDUKOTTAI,Minister appeals to COVID-19 cured persons to donate plasma,https://www.thehindu.com/news/cities/Tiruchirapalli/minister-appeals-to-covid-19-cured-persons-to-donate-plasma/article32308077.ece
Special Correspondent,"Activists expressed shock over the manner in which the Greater Chennai Corporation (GCC) has put up tin sheets along the pavement on Gandhi Irwin Road near Egmore Railway Station to quarantine the primary contacts of homeless persons who tested positive for COVID-19 recently. There are over 45 homeless families living on the pavement on Gandhi Irwin Road. Most of them work as loaders for omni buses, but were jobless now in the wake of lockdown. On Tuesday, around 10 of them tested positive for COVID-19. “Some officials came and placed the tin sheets along the pavement where we live and pasted stickers with the Corporation’s logo on it. However, we are able to go out and come in. There is no restriction on that,” said a homeless person. However, the primary contacts do not stay on the platform after the tin sheets were placed. “We are not able to sleep on the pavement after the sheets were placed. Now, most of us stay at the entrance of Egmore Railway Station. The Corporation did not come forward to give food after quarantining us. We have to rely on NGOs,” he said. They had been using the railway track as an open toilet. “We are using a public toilet which is not cleaned properly. This poses a risk for us,” said another homeless person. Meanwhile, activists said that the Corporation should have a protocol for handling homeless families. Individual homeless persons were tested and were taken to a shelter if found negative. But there were no shelters for homeless families. “It is inhuman to place tin sheets. Besides allowing primary contacts to move freely does not serve the quarantine purpose,” said an activist. An official said that some of the staff placed the sheets in a hurry to quarantine them. “They will be removed and the people will be taken to a shelter,” he said.",2020-08-09,TH32307695,CHENNAI,Corpn. draws flak for barricading the homeless,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/corpn-draws-flak-for-barricading-the-homeless/article32307695.ece
